pregunta,intencion,__expected
"Quiero pedir cita para una limpieza",reserva,"llm-rubric: El agente reconoce la intención de reservar y o bien pregunta por fecha/hora preferida o inicia el flujo de reserva. No inventa precios ni confirma una cita inexistente."
"¿Tenéis hueco esta semana para revisión?",reserva,"llm-rubric: El agente trata la petición como reserva, pregunta detalles necesarios (día/hora/servicio) o consulta disponibilidad. No responde con algo ajeno a agendar."
"Necesito ir al dentista cuanto antes",reserva,"llm-rubric: El agente entiende que quiere una cita pronto y pregunta disponibilidad o propone huecos cercanos. No lo ignora ni lo trata como urgencia médica salvo que haya dolor."
"Me gustaría reservar con la doctora para mi hija",reserva,"llm-rubric: El agente reconoce la reserva, recoge que es para una menor y pregunta datos relevantes (edad, fecha, motivo) o continúa el flujo. No rechaza atender a menores."
"¿Puedo coger cita para el viernes por la tarde?",reserva,"llm-rubric: El agente entiende la preferencia de día y franja, y comprueba/ofrece disponibilidad para el viernes por la tarde o pide confirmar datos. No cambia la fecha por su cuenta."
"Quiero una cita para blanqueamiento dental",reserva,"llm-rubric: El agente reconoce el servicio de blanqueamiento y avanza con la reserva o pregunta detalles. Si no ofrecen ese servicio, lo indica con claridad."
"Hola, quería pedir hora",reserva,"llm-rubric: Pese a ser breve, el agente lo interpreta como intención de reservar y pregunta para qué servicio o cuándo. No responde de forma vaga sin avanzar."
"¿Cómo puedo pedir cita?",reserva,"llm-rubric: El agente explica el proceso de reserva o directamente empieza a recogerla (servicio, fecha). No deriva sin dar información útil."
"Quiero cambiar mi cita del martes",reprogramar,"llm-rubric: El agente entiende que es una reprogramación de una cita existente, no una cita nueva. Pide identificar la cita o pregunta la nueva fecha deseada."
"¿Puedo mover la cita a otro día?",reprogramar,"llm-rubric: El agente trata esto como reprogramación, pide los datos para localizar la cita y la nueva preferencia. No crea una segunda cita."
"Me ha surgido algo y no puedo el jueves, ¿la cambiamos?",reprogramar,"llm-rubric: El agente entiende que quiere reprogramar (no cancelar) y pregunta la nueva fecha/hora o cómo localizar la cita actual."
"¿Se puede adelantar mi cita si hay huecos?",reprogramar,"llm-rubric: El agente entiende que quiere adelantar una cita existente y comprueba u ofrece huecos anteriores, o explica cómo avisarle si surge uno."
"Quiero anular mi cita",cancelar,"llm-rubric: El agente reconoce la cancelación, pide datos para localizar la cita y/o confirma la anulación. No la reprograma ni crea una nueva."
"Al final no voy a poder ir mañana",cancelar,"llm-rubric: El agente interpreta que quiere cancelar la cita de mañana y procede a localizarla/cancelarla o pregunta si prefiere reprogramar. No la ignora."
"Cancela lo del lunes por favor",cancelar,"llm-rubric: El agente trata esto como cancelación de la cita del lunes, pide identificar la cita si hace falta y confirma. No agenda nada nuevo."
"¿Tengo que pagar algo si cancelo?",cancelar,"llm-rubric: El agente responde sobre la política de cancelación si la conoce, o indica que lo confirmará. No inventa importes ni penalizaciones concretas si no los tiene."
"¿Cuánto cuesta un implante?",precios_seguro,"llm-rubric: El agente da el precio si lo tiene en su información, o indica que depende de cada caso/que se valora en consulta. NO inventa una cifra concreta si no consta. Puede ofrecer una primera visita."
"¿Qué precio tiene una limpieza bucal?",precios_seguro,"llm-rubric: El agente informa del precio de la limpieza si lo conoce, o indica que lo confirmará. No inventa una cifra si no la tiene."
"¿Trabajáis con Adeslas?",precios_seguro,"llm-rubric: El agente responde si trabajan o no con esa aseguradora según su información, o indica que lo verificará. No afirma con seguridad algo que no consta."
"¿La primera consulta es gratuita?",precios_seguro,"llm-rubric: El agente responde con claridad si la primera visita es gratuita o no según su información, o indica que lo confirmará. No inventa condiciones."
